label,message
ham,Hey, are we meeting today?
spam,Congratulations! You won a prize. Call now!
ham,Can you send me the report?
spam,Free entry to a lottery, click here!
ham,Don't forget our meeting at 3 PM.
spam,You have won $1000! Claim your reward now.
ham,Please review the attached document.
spam,Limited time offer! Buy now and save big.
ham,Are you coming to the party tonight?
spam,Winner! You have been selected for a gift card.
ham,Let's have lunch tomorrow.
spam,Get a free subscription by clicking this link.
